"Year","Age","Name","Movie"
1,1928,22,"Janet Gaynor","Seventh Heaven,Street Angel and Sunrise: A Song of Two Humans"
2,1928,44,"Emil Jannings","The Last Command,The Way of All Flesh"
3,1929,37,"Mary Pickford","Coquette"
4,1929,41,"Warner Baxter","In Old Arizona"
5,1930,28,"Norma Shearer","The Divorcee"
6,1930,62,"George Arliss","Disraeli"
7,1931,63,"Marie Dressler","Min and Bill"
8,1931,53,"Lionel Barrymore","A Free Soul"
9,1932,32,"Helen Hayes","The Sin of Madelon Claudet"
10,1932,47,"Wallace Beery","The Champ"
11,1933,26,"Katharine Hepburn","Morning Glory"
12,1933,35,"Fredric March","Dr. Jekyll and Mr. Hyde"
13,1934,31,"Claudette Colbert","It Happened One Night"
14,1934,34,"Charles Laughton","The Private Life of Henry VIII"
15,1935,27,"Bette Davis","Dangerous"
16,1935,34,"Clark Gable","It Happened One Night"
17,1936,27,"Luise Rainer","The Great Ziegfeld"
18,1936,49,"Victor McLaglen","The Informer"
19,1937,28,"Luise Rainer","The Good Earth"
20,1937,41,"Paul Muni","The Story of Louis Pasteur"
21,1938,30,"Bette Davis","Jezebel"
22,1938,37,"Spencer Tracy","Captains Courageous"
23,1939,26,"Vivien Leigh","Gone with the Wind"
24,1939,38,"Spencer Tracy","Boys Town"
25,1940,29,"Ginger Rogers","Kitty Foyle"
26,1940,34,"Robert Donat","Goodbye,Mr. Chips"
27,1941,24,"Joan Fontaine","Suspicion"
28,1941,32,"James Stewart","The Philadelphia Story"
29,1942,38,"Greer Garson","Mrs. Miniver"
30,1942,40,"Gary Cooper","Sergeant York"
31,1943,25,"Jennifer Jones","The Song of Bernadette"
32,1943,43,"James Cagney","Yankee Doodle Dandy"
33,1944,29,"Ingrid Bergman","Gaslight"
34,1944,48,"Paul Lukas","Watch on the Rhine"
35,1945,40,"Joan Crawford","Mildred Pierce"
36,1945,41,"Bing Crosby","Going My Way"
37,1946,30,"Olivia de Havilland","To Each His Own"
38,1946,39,"Ray Milland","The Lost Weekend"
39,1947,35,"Loretta Young","The Farmer's Daughter"
40,1947,49,"Fredric March","The Best Years of Our Lives"
41,1948,32,"Jane Wyman","Johnny Belinda"
42,1948,57,"Ronald Colman","A Double Life"
